Data Element,FHIR Contained by,FHIR Resource,FHIR Element Path,CDA Section,CDA Mapping
:--------------------,:--------------------,:--------------------,:--------------------,:--------------------,:--------------------
Date of the Report,,Composition[eicr-composition],[date](StructureDefinition-eicr-composition-definitions.html#Composition.date),US Realm Header (V3),ClinicalDocument/effectiveTime
ID of the eICR Document,,Composition[eicr-composition],[id](StructureDefinition-eicr-composition-definitions.html#Composition.id),US Realm Header (V3),ClinicalDocument/identifier
Provider ID,"Encounter[eicr-encounter].participant[type=""ATND""]",Practitioner[us-core-practitioner],[identifier](http://hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.identifier),eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/assignedEntity/id
Provider Name,"Encounter[eicr-encounter].participant[type=""ATND""]",Practitioner[us-core-practitioner],[name](http://hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.name),eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/assignedPerson/name
Provider Phone,"Encounter[eicr-encounter].participant[type=""ATND""]",Practitioner[us-core-practitioner],"[telecom[system=""phone""]](http://hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom)",eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/telecom[telecom:]
Provider Fax,"Encounter[eicr-encounter].participant[type=""ATND""]",Practitioner[us-core-practitioner],"[telecom[system=""fax""]](http://hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom)",eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/telecom[fax:]
Provider Email,"Encounter[eicr-encounter].participant[type=""ATND""]",Practitioner[us-core-practitioner],"[telecom[system=""email""]](http://hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.telecom)",eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/responsibleParty/assignedEntity/telecom[email:]
Provider Facility/Office Name,Encounter[eicr-encounter].location,Location[eicr-location],[name](StructureDefinition-eicr-location-definitions.html#Location.name),eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/responsibleParty/representedOrganization/name
Provider Address,"Encounter[eicr-encounter].participant[type=""ATND""].PractitionerRole[ecr-practitionerrole].practitioner",Practitioner[us-core-practitioner],[address](http://hl7.org/fhir/us/core/StructureDefinition-us-core-practitioner-definitions.html#Practitioner.address),eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/responsibleParty/representedOrganization/addr
Facility ID Number,Encounter[eicr-encounter].location,Location(eicr-location),[identifier](StructureDefinition-eicr-location-definitions.html#Location.identifier),eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/location/healthCareFacility/id
Facility Name,Encounter[eicr-encounter].location,Location(eicr-location),[name](StructureDefinition-eicr-location-definitions.html#Location.name),eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/location/healthCareFacility/serviceProviderOrganization/name
Facility Type,Encounter[eicr-encounter].location,Location(eicr-location),[type](StructureDefinition-eicr-location-definitions.html#Location.type),eICR Initial Public Health Case Report Document (V2),ClincalDocument/componentOf/encompassingEncounter/location/healthCareFacility/code
