Data Element,FHIR Contained by,FHIR Resource,FHIR Element Path,CDA Section,CDA Mapping
:--------------------,:--------------------,:--------------------,:--------------------,:--------------------,:--------------------
Date and time of eICR Receipt,,Communication[rr-communication].payload.extension,[extension-rr-eicr-receipt-time](StructureDefinition-rr-communication-definitions.html#Communication.payload:sliceEICRInformation.extension:extensionEICRReceiptTime),Electronic Initial Case Report Section,Received eICR Information/eICR External Document Reference/effectiveTime
Determination of Reportability Reason,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[extension-rr-determination-of-reportability-reason](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.extension:determinationOfReportabilityReason),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Determination of Reportability/Determination of Reportability Reason/value
Determination of Reportability Rule,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[extension-rr-determination-of-reportability-rule](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.extension:determinationOfReportabilityRule),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Determination of Reportability/Determination of Reportability Rule/value
Determination of Reportability Value,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[extension-rr-determination-of-reportability](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.extension:determinationOfReportability),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/Determination of Reportability/value
eICR Document ID,n/a,Communication[rr-communication],[payload: sliceEICRInformation.contentReference.identifier](StructureDefinition-rr-communication-definitions.html#Communication.payload:sliceEICRInformation.contentReference:contentReference.identifier),Electronic Initial Case Report Section,Received eICR Information/eICR External Document Reference/id
eICR Document Set ID,,,[n/a](),Electronic Initial Case Report Section,Received eICR Information/eICR External Document Reference/setId
eICR Document Version Number,,,[n/a](),Electronic Initial Case Report Section,Received eICR Information/eICR External Document Reference/versionNumber
eICR Encompassing Encounter ID,n/a,Communication[rr-communication],[context:eicr-encounter.identifier](StructureDefinition-rr-communication-definitions.html#Communication.context),Header,ClinicalDocument/componentOf/encompassingEncounter/id
eICR Processing Status,PlanDefinition[rr-plandefinition].extension,Observation[eicr-processing-status],[code](Communication.payload:sliceEICRInformation.extension:eICRProcessingStatus),Electronic Initial Case Report Section,eICR Processing Status/code
eICR Processing Status Reason,Observation[eicr-processing-status].related,Observation[eicr-processing-status-reason],[valueCodeableConcept](),Electronic Initial Case Report Section,eICR Processing Status/eICR Processing StatusReason/value
eICR Validation Output (text output),PlanDefinition[rr-plandefinition].extension,Observation[eicr-processing-status],[extension.valueString and extension.valueMarkdown](StructureDefinition-extension-rr-eicr-processing-status-definitions.html#Extension.extension:eICRValidationOutput.value[x]),Electronic Initial Case Report Section,eICR Processing Status/eICR Validation Output/value
eICR Validation Output (link to output file),PlanDefinition[rr-plandefinition].extension,Observation[eicr-processing-status],[extension.valueAttachment](StructureDefinition-extension-rr-eicr-processing-status-definitions.html#Extension.extension:eICRValidationOutput.value[x]),Electronic Initial Case Report Section,eICR Processing Status/eICR Validation Output/value/reference[http:][https:]
Expected RCTC Version,Observation[eicr-processing-status].related,Observation[eicr-processing-status-reason],"[component[code=""RRVS33""].valueString](StructureDefinition-rr-eicr-processing-status-reason-definitions.html#Observation.valueCodeableConcept:valueCodeableConcept)",Electronic Initial Case Report Section,eICR Processing Status/eICR Processing Status Reason/eICR Processing Status Reason Detail[code=”RRVS33”]/value
External Resource Category,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[action.documentation.extension-rr-external-resource-type](StructureDefinition-extension-rr-external-resource-type.html),Reportability Response Summary Section,../External Resources/code
External Resource Description,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[action.documentation.display](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.action.documentation.display),Reportability Response Summary Section,../External Resources/External Reference/code/originalText
External Resource Link,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[action.documentation.url](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.action.documentation.url),Reportability Response Summary Section,../External Resources/External Reference/code/text/reference[http:][https:]
External Resource Priority,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[action.documentation.extension-rr-priority](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.action.documentation.extension:externalResourcePriority),Reportability Response Summary Section,../External Resource/priorityCode
Facility Address,Encounter[eicr-encounter].location,Location[eicr-location],[address](StructureDefinition-eicr-location-definitions.html#Location.address),Header,ClinicalDocument/componentOf/encompassingEncounter/location/healthCareFacility/location/addr
Facility ID Number,Encounter[eicr-encounter].location,Location[eicr-location],[identifier](StructureDefinition-eicr-location-definitions.html#Location.identifier),Header,ClinicalDocument/componentOf/encompassingEncounter/location/healthCareFacility/id
Facility Name,Encounter[eicr-encounter].location,Location[eicr-location],[name](StructureDefinition-eicr-location-definitions.html#Location.name),Header,ClinicalDocument/componentOf/encompassingEncounter/location/healthCareFacility/serviceProviderOrganization/name
Facility Fax,Encounter[eicr-encounter].location,Location[eicr-location],"[telecom[system=""fax""]](StructureDefinition-eicr-location-definitions.html#Location.telecom)",Header,ClinicalDocument/componentOf/encompassingEncounter/location/healthCareFacility/serviceProviderOrganization/telecom[fax:]
Facility Phone,Encounter[eicr-encounter].location,Location[eicr-location],"[telecom[system=""phone""]](StructureDefinition-eicr-location-definitions.html#Location.telecom)",Header,ClinicalDocument/componentOf/encompassingEncounter/location/healthCareFacility/serviceProviderOrganization/telecom[tel:]
Facility Type,Encounter[eicr-encounter].location,Location[eicr-location],[type](StructureDefinition-eicr-location-definitions.html#Location.type),Header,ClinicalDocument/componentOf/encompassingEncounter/location/healthCareFacility/code
Filename of eICR,n/a,Communication[rr-communication],[payload: sliceEICRInformation.contentReference.display](StructureDefinition-rr-communication-definitions.html#Communication.payload:sliceEICRInformation.contentReference:contentReference.display),Electronic Initial Case Report Section,Received eICR Information/text
Inactive RCTC Code,Observation[eicr-processing-status].related,Observation[eicr-processing-status-reason],"[component[code=""RRVS32""].valueCode](StructureDefinition-rr-eicr-processing-status-reason-definitions.html#Observation.component.value[x])",Electronic Initial Case Report Section,"eICR Processing Status Detail[code=""RRVS32”]/value"
Location Relevance,Communication[rr-communication].payload,PlanDefinition[rr-plandefinition],[jurisdiction.extension-rr-location-relevance](StructureDefinition-rr-relevant-reportable-condition-plandefinition-definitions.html#PlanDefinition.jurisdiction.extension:locationRelevance),Reportability Response Summary Section,Reportability Response Coded Information Organizer/Relevant Reportable Condition Observation/Reportability Information Organizer/code
Manually Initiated eICR,n/a,Communication[rr-communication],[payload: sliceEICRInformation.extension-rr-manually-initiated-eicr](StructureDefinition-extension-rr-manually-initiated-eicr.html),Electronic Initial Case Report Section,"Manually Initiated eICR/code=""PHC1464""]"
Outdated RCTC Version,Observation[eicr-processing-status].related,Observation[eicr-processing-status-reason],"[component[code=""RRVS31""].valueCode](StructureDefinition-rr-eicr-processing-status-reason-definitions.html#Observation.component.value[x])",Electronic Initial Case Report Section,"eICR Processing Status Reason Detail[code=""RRVS31""]/value"
Parent/ Guardian Email,Communication[rr-communication].subject,Patient[ecr-patient],"[contact.telecom[system=""email""]](StructureDefinition-ecr-patient-definitions.html#Patient.contact.telecom)",Header,Clinical Document/record target/patientRole/patient/guardian/telecom[mailto:]
Parent/ Guardian Name,Communication[rr-communication].subject,Patient[ecr-patient],[contact.name](StructureDefinition-ecr-patient-definitions.html#Patient.contact.name),Header,Clinical Document/record target/patientRole/patient/guardian/guardianPerson/name
Parent/ Guardian Phone,Communication[rr-communication].subject,Patient[ecr-patient],"[contact.telecom[system=""phone""]](StructureDefinition-ecr-patient-definitions.html#Patient.contact.telecom)",Header,Clinical Document/record target/patientRole/patient/guardian/telecom[tel:]
Patient Administrative Gender,Communication[rr-communication].subject,Patient[ecr-patient],[gender](StructureDefinition-ecr-patient-definitions.html#Patient.gender),Header,ClinicalDocument/recordTarget/patientRole/patient/administrativeGenderCode
Patient Birth Date,Communication[rr-communication].subject,Patient[ecr-patient],[birthDate](StructureDefinition-ecr-patient-definitions.html#Patient.birthDate),Header,ClinicalDocument/recordTarget/patientRole/patient/birthTime
Patient Email,Communication[rr-communication].subject,Patient[ecr-patient],"[telecom[system=""email""]](StructureDefinition-ecr-patient-definitions.html#Patient.telecom)",Header,ClinicalDocument/recordTarget/patientRole/telecom[mailto:]
