element,value
phcase_category_coding_code,
phcase_category_coding_display,
phcase_category_coding_system,
phcase_category_coding_userSelected,
phcase_category_coding_version,
phcase_category_text,
phcase_clinicalFindings_code_coding_code,
phcase_clinicalFindings_code_coding_display,
phcase_clinicalFindings_code_coding_system,
phcase_clinicalFindings_code_coding_userSelected,
phcase_clinicalFindings_code_coding_version,
phcase_clinicalFindings_code_text,not pregnant
phcase_clinicalFindings_isReasonExtension,
phcase_clinicalFindings_reference_display,
phcase_clinicalFindings_reference_identifier_period_end,
phcase_clinicalFindings_reference_identifier_period_start,
phcase_clinicalFindings_reference_identifier_system,
phcase_clinicalFindings_reference_identifier_type_coding_code,
phcase_clinicalFindings_reference_identifier_type_coding_display,
phcase_clinicalFindings_reference_identifier_type_coding_system,
phcase_clinicalFindings_reference_identifier_type_coding_userSelected,
phcase_clinicalFindings_reference_identifier_type_coding_version,
phcase_clinicalFindings_reference_identifier_type_text,
phcase_clinicalFindings_reference_identifier_use,
phcase_clinicalFindings_reference_identifier_value,
phcase_clinicalFindings_reference_reference,
phcase_code_coding_code,
phcase_code_coding_display,
phcase_code_coding_system,
phcase_code_coding_userSelected,
phcase_code_coding_version,
phcase_code_text,
phcase_context_display,
phcase_context_identifier_period_end,
phcase_context_identifier_period_start,
phcase_context_identifier_system,
phcase_context_identifier_type_coding_code,
phcase_context_identifier_type_coding_display,
phcase_context_identifier_type_coding_system,
phcase_context_identifier_type_coding_userSelected,
phcase_context_identifier_type_coding_version,
phcase_context_identifier_type_text,
phcase_context_identifier_use,
phcase_context_identifier_value,
phcase_context_reference,
phcase_definition_display,
phcase_definition_identifier_period_end,
phcase_definition_identifier_period_start,
phcase_definition_identifier_system,
phcase_definition_identifier_type_coding_code,
phcase_definition_identifier_type_coding_display,
phcase_definition_identifier_type_coding_system,
phcase_definition_identifier_type_coding_userSelected,
phcase_definition_identifier_type_coding_version,
phcase_definition_identifier_type_text,
phcase_definition_identifier_use,
phcase_definition_identifier_value,
phcase_definition_reference,
phcase_effectiveDateTime,
phcase_effectivePeriod_end,
phcase_effectivePeriod_start,11/7/16
phcase_effectiveTiming_code_coding_code,
phcase_effectiveTiming_code_coding_display,
phcase_effectiveTiming_code_coding_system,
phcase_effectiveTiming_code_coding_userSelected,
phcase_effectiveTiming_code_coding_version,
phcase_effectiveTiming_code_text,
phcase_effectiveTiming_event,
